unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
1512840600	11668.0	11993.22	11965.99	11706.43	45.248414509999954	2017-12-09 18:30:00	12397.6391355	12755.6326998	-357.993564341	-234.977061009	-123.016503332	-0.0980434309596		3.7973435628407657
1512841500	11110.02	11713.0	11706.47	11579.93	61.98287191	2017-12-09 18:45:00	12271.83773	12668.543611	-396.705880925	-267.322824992	-129.383055933	-0.0517536462835		3.540087230126886
1512842400	11501.0	12628.92	11508.59	12628.92	56.75302671000011	2017-12-09 19:00:00	12326.7734639	12665.6085287	-338.835064791	-281.625272952	-57.2097918387	0.557826243736	Minimum	11.935101191595507
1512843300	12350.52	12968.0	12620.99	12665.11	48.76041321999999	2017-12-09 19:15:00	12378.8252387	12665.5716006	-286.746361953	-282.649490752	-4.09687120054	0.928388636475		21.727424911916614
1512844200	12323.01	12680.0	12665.1	12558.71	34.745994800000055	2017-12-09 19:30:00	12406.4998173	12657.6559265	-251.156109166	-276.350814435	25.1947052692	7.14974306878		20.33740439593565
1512845100	12545.05	12683.88	12558.71	12598.13	30.370692750000025	2017-12-09 19:45:00	12435.9813839	12653.2465986	-217.265214712	-264.53369449	47.268479778	0.876127514608		25.63002375989592
1512846000	12584.03	12680.0	12598.13	12588.92	25.517868859999986	2017-12-09 20:00:00	12459.5104018	12648.4816654	-188.97126362	-249.421208316	60.4499446965	0.278863737112		30.3979259581086
1512846900	12373.29	12580.05	12580.05	12410.09	25.100775560000024	2017-12-09 20:15:00	12451.907263	12630.8230235	-178.915760472	-235.320118747	56.4043582756	-0.0669245677762	Maximum	30.790885956699157
1512847800	12220.0	12500.0	12410.1	12445.81	36.712649160000026	2017-12-09 20:30:00	12450.9692226	12617.1183551	-166.14913253	-221.485921504	55.3367889739	-0.0189270711393		30.549607801362356
1512848700	12352.37	12446.0	12445.81	12378.33	17.990984109999967	2017-12-09 20:45:00	12439.7939575	12599.4303288	-159.636371236	-209.11601145	49.4796402142	-0.105845475828		36.00623304450023
1512849600	12377.45	12537.48	12378.46	12530.0	19.73598911999998	2017-12-09 21:00:00	12453.6718102	12594.2873415	-140.615531234	-195.415915407	54.800384173	0.10753400663	Minimum	40.34109090207896
1512850500	12536.43	12598.98	12536.43	12570.0	20.474912930000034	2017-12-09 21:15:00	12471.5684548	12592.4882791	-120.919824324	-180.51669719	59.5968728667	0.0875265523411		45.261289306740935
1512851400	12569.99	12862.0	12570.0	12740.01	31.196163240000033	2017-12-09 21:30:00	12512.8671541	12603.415814	-90.5486599429	-162.523089741	71.9744297979	0.207688026835		50.531958666315276
1512852300	12655.5	12774.99	12740.01	12674.01	17.533248299999958	2017-12-09 21:45:00	12537.6583611	12608.645013	-70.9866518391	-144.21580216	73.2291503214	0.0174328650752		54.639223994593166
1512853200	12560.02	12717.11	12674.01	12561.42	15.844203689999965	2017-12-09 22:00:00	12541.3139979	12605.1468639	-63.8328659817	-128.139214925	64.306348943	-0.121847670487	Maximum	58.60984077726384
1512854100	12550.0	12613.62	12560.75	12568.01	18.120546799999968	2017-12-09 22:15:00	12545.4210751	12602.3959851	-56.9749099285	-113.906353925	56.931443997	-0.114683931948		62.17971707196088
1512855000	12567.68	12657.63	12567.68	12630.0	18.587597779999975	2017-12-09 22:30:00	12558.4332174	12604.4407269	-46.0075094887	-100.326585038	54.3190755494	-0.0458862144392		58.52282555023856
1512855900	12616.53	12724.99	12630.0	12724.98	21.329362929999995	2017-12-09 22:45:00	12584.0557994	12613.369562	-29.3137625972	-86.1240205499	56.8102579527	0.0458620176809	Minimum	54.30636243799569
1512856800	12691.71	12749.5	12724.98	12749.49	11.957397549999964	2017-12-09 23:00:00	12609.5072148	12623.4525574	-13.9453425245	-71.6882849449	57.7429424203	0.0164175362209		65.26840288882963
1512857700	12739.25	12899.0	12743.98	12852.9	24.603085830000033	2017-12-09 23:15:00	12646.9522587	12640.4486642	6.50359448434	-56.049909059	62.5535035433	0.0833099409445		62.75218148007067
1512858600	12850.01	13182.0	12852.9	13128.37	27.376861200000015	2017-12-09 23:30:00	12721.0165266	12676.5909854	44.4255412065	-35.9548190059	80.3803602124	0.284985742753		62.09899594236039
1512859500	12861.05	13328.97	13128.48	13059.38	33.34864256000004	2017-12-09 23:45:00	12773.0724456	12704.9457272	68.1267183683	-15.1385115311	83.2652298994	0.0358902308885		70.76112152423211
