	unixtime	low	high	open	close	volume	intervallStart_datetime
5154	1514402400	13248.0	13250.01	13250.01	13249.01	7.319224879999995	2017-12-27 20:20:00
5155	1514402700	13215.1	13250.01	13249.01	13250.01	8.931151919999987	2017-12-27 20:25:00
5156	1514403000	13215.12	13250.01	13250.01	13215.12	5.089636559999993	2017-12-27 20:30:00
5157	1514403300	13215.12	13249.01	13215.12	13222.31	6.604667359999992	2017-12-27 20:35:00
5158	1514403600	13200.02	13267.18	13222.31	13213.33	6.09167066999999	2017-12-27 20:40:00
5159	1514403900	13113.0	13222.12	13212.92	13184.68	12.198227459999995	2017-12-27 20:45:00
5160	1514404200	13101.9	13184.69	13180.58	13105.28	5.095004449999993	2017-12-27 20:50:00
5161	1514404500	13085.0	13179.0	13102.38	13118.19	5.1084442699999935	2017-12-27 20:55:00
5162	1514404800	13118.19	13199.0	13118.19	13199.0	5.1293783799999915	2017-12-27 21:00:00
5163	1514405100	13190.0	13225.0	13199.0	13190.01	3.698958509999996	2017-12-27 21:05:00
5164	1514405400	13115.0	13190.01	13190.01	13135.01	4.041042019999995	2017-12-27 21:10:00
5165	1514405700	13120.66	13190.01	13135.01	13178.96	6.024890039999989	2017-12-27 21:15:00
5166	1514406000	13178.96	13197.51	13178.96	13197.5	5.300900039999997	2017-12-27 21:20:00
5167	1514406300	13130.0	13210.0	13197.51	13132.97	3.555654149999998	2017-12-27 21:25:00
5168	1514406600	13075.0	13131.55	13131.55	13087.36	9.529534179999988	2017-12-27 21:30:00
5169	1514406900	13017.42	13087.36	13087.36	13022.21	7.223426769999994	2017-12-27 21:35:00
5170	1514407200	13022.2	13079.0	13022.21	13077.7	6.588963409999993	2017-12-27 21:40:00
5171	1514407500	13077.24	13185.0	13077.24	13185.0	9.10543027999999	2017-12-27 21:45:00
5172	1514407800	13155.68	13198.0	13185.0	13158.78	5.577671959999996	2017-12-27 21:50:00
5173	1514408100	13061.0	13160.0	13158.78	13157.04	6.782692409999994	2017-12-27 21:55:00
