unixtime;low;high;open;close;volume;intervallStart_datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall;Signal;
1514238300;12250;12325;12289,89;12255,57;7,01147225;25.12.2017 22:45;12276,85667;-50,60620031;-10,26409763;-0,254426441;39,84281966;1,201880826;0,031103821;DOWN;DOWN;DOWN;0;
1514239200;12255,56;12300;12255,57;12273,16;10,30505192;25.12.2017 23:00;12276,24;-56,42229403;-5,816093726;-0,114928481;30,54352682;-9,299292841;-0,233399466;DOWN;DOWN;UP;0;
1514240100;12214,01;12298,97;12273,16;12222,42;6,7265768;25.12.2017 23:15;12245,13333;-65,70660609;-9,284312059;-0,164550418;29,81886965;-0,724657165;-0,023725393;UP;UP;UP;0;
1514241000;12205;12320,46;12221,28;12262,16;9,43534963;25.12.2017 23:30;12262,54;-66,01353067;-0,306924575;-0,004671137;36,37133635;6,552466697;0,21974229;UP;UP;UP;1;
1514241900;12260;12319;12260,88;12310;7,86789173;25.12.2017 23:45;12296,33333;-61,00525981;5,00827086;0,075867338;38,24499402;1,873657671;0,051514678;UP;UP;UP;0;
1514242800;12309,08;12449,97;12309,08;12324;8,6380523;26.12.2017 00:00;12361,01667;-55,32204005;5,683219762;0,093159504;45,15761805;6,91262403;0,180745852;DOWN;DOWN;DOWN;0;
1514243700;12320;12377;12324;12347,98;6,77320321;26.12.2017 00:15;12348,32667;-48,46936582;6,852674227;0,123868791;38,10231666;-7,055301394;-0,156237235;DOWN;DOWN;DOWN;0;
1514244600;12301,81;12374,5;12347,98;12348,94;6,77243358;26.12.2017 00:30;12341,75;-40,90281129;7,566554532;0,156110038;38,24784222;0,145525558;0,003819336;DOWN;DOWN;UP;0;
1514245500;12301;12348,94;12348,93;12306,01;5,18685514;26.12.2017 00:45;12318,65;-34,51008552;6,392725769;0,156290621;32,63835322;-5,609488996;-0,146661581;UP;UP;UP;0;
1514246400;12285,75;12342;12306,01;12341,98;4,76146852;26.12.2017 01:00;12323,24333;-29,88143318;4,62865234;0,134124627;37,68599341;5,047640184;0,154653642;UP;UP;DOWN;0;
1514247300;12341,98;12399;12341,98;12370,01;4,28134804;26.12.2017 01:15;12370,33;-21,10610534;8,775327843;0,293671585;42,2585105;4,572517098;0,121332004;DOWN;DOWN;DOWN;0;
1514248200;12305,92;12371,78;12370,01;12307,09;3,60714981;26.12.2017 01:30;12328,26333;-18,52244162;2,583663715;0,122413097;32,37015641;-9,888354095;-0,233996749;DOWN;DOWN;DOWN;2;1
1514249100;12290,5;12320,01;12307,09;12290,5;6,78016856;26.12.2017 01:45;12300,33667;-17,23122768;1,291213945;0,069710785;35,47126254;3,101106131;0,095801395;DOWN;DOWN;DOWN;0;
1514250000;12248,53;12290,5;12290,5;12277,74;3,89922704;26.12.2017 02:00;12272,25667;-15,77459568;1,456632;0,084534429;36,2482848;0,77702226;0,021905684;DOWN;DOWN;DOWN;0;
1514250900;12199,21;12277,74;12277,74;12199,21;9,33161104;26.12.2017 02:15;12225,38667;-21,23541048;-5,460814801;-0,346177798;36,85043218;0,602147383;0,016611748;UP;DOWN;DOWN;0;
1514251800;12182,69;12274,39;12199;12260,07;3,95453545;26.12.2017 02:30;12239,05;-19,59689172;1,638518762;0,077159741;45,79046967;8,940037489;0,242603328;DOWN;DOWN;DOWN;0;
1514252700;12199,5;12260,39;12260,39;12212,75;3,32577878;26.12.2017 02:45;12224,21333;-23,18371354;-3,586821827;-0,18303014;49,09432295;3,303853277;0,072151548;DOWN;DOWN;DOWN;0;
1514253600;12164;12240;12212,75;12193,7;3,99348872;26.12.2017 03:00;12199,23333;-28,1902152;-5,006501656;-0,215949082;43,14821381;-5,946109134;-0,121116023;DOWN;DOWN;DOWN;0;
1514254500;12159,48;12190,96;12163,48;12190,94;2,56334805;26.12.2017 03:15;12180,46;-31,82495749;-3,63474229;-0,128936309;34,23525261;-8,912961208;-0,206566169;UP;DOWN;DOWN;0;
1514255400;12179,03;12190,95;12190,93;12190,95;2,31990503;26.12.2017 03:30;12186,97667;-34,99401992;-3,169062432;-0,0995779;29,49122498;-4,744027622;-0,138571422;DOWN;DOWN;DOWN;1;
1514256300;12159;12190,95;12190,95;12159,01;2,91122101;26.12.2017 03:45;12169,65333;-38,39654599;-3,402526071;-0,097231644;32,28112938;2,789904396;0,09460117;DOWN;UP;UP;0;
1514257200;12114;12190,95;12159,01;12187,1;1,16249977;26.12.2017 04:00;12164,01667;-39,11263288;-0,716086893;-0,018649774;34,27219102;1,991061636;0,06167881;UP;UP;UP;0;
1514258100;12176,91;12187,1;12187,09;12187,09;2,65758037;26.12.2017 04:15;12183,7;-41,44312732;-2,330494438;-0,059584187;39,59958811;5,327397095;0,155443727;UP;UP;UP;0;
1514259000;12151,44;12445,33;12187,08;12427,62;9,36037054;26.12.2017 04:30;12341,46333;-17,83412078;23,60900654;0,569672418;36,80292085;-2,796667258;-0,070623645;UP;UP;UP;0;
1514259900;12427,62;12663;12427,62;12659,5;14,28892523;26.12.2017 04:45;12583,37333;21,66932323;39,50344401;2,215048586;41,67392179;4,871000939;0,132353651;UP;UP;UP;0;
