Unnamed: 0	unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
134	1512852600	12741.04	12759.01	12741.05	12750.27	4.622781249999996	2017-12-09 21:50:00	12633.1132863	12539.9785976	93.1346886594	67.3921825015	25.7425061579	-0.0706751700262		43.879581898292834
135	1512852900	12655.5	12763.99	12750.1	12674.01	6.727471359999987	2017-12-09 21:55:00	12639.4050884	12549.9068497	89.49823874	71.8133937492	17.6848449908	-0.313009973375		45.47651789477031
136	1512853200	12622.08	12717.11	12674.01	12699.0	7.019000809999991	2017-12-09 22:00:00	12648.5735363	12560.9507867	87.6227496152	74.9752649224	12.6474846928	-0.284840511782		44.6656247322151
137	1512853500	12627.02	12699.01	12699.01	12630.03	5.622432749999991	2017-12-09 22:05:00	12645.7206846	12566.0677655	79.6529191088	75.9107957596	3.7421233491	-0.704121140291		37.56970173880084
138	1512853800	12560.02	12624.99	12624.99	12561.42	3.202770129999997	2017-12-09 22:10:00	12632.7513485	12565.7234866	67.0278619415	74.134208996	-7.10634705454	-2.89901464799		32.187476706363995
139	1512854100	12555.1	12560.75	12560.75	12555.1	5.681223069999995	2017-12-09 22:15:00	12620.8049872	12564.9365616	55.8684255632	70.4810523095	-14.6126267462	-1.05627823045		27.054180100680725
140	1512854400	12550.0	12613.62	12555.08	12601.1	8.081881039999987	2017-12-09 22:20:00	12617.7734507	12567.6153348	50.1581158587	66.4164650193	-16.2583491606	-0.112623311532		28.184605735858455
141	1512854700	12550.06	12600.05	12600.05	12568.01	4.357442689999996	2017-12-09 22:25:00	12610.1175352	12567.6445693	42.4729659096	61.6277651974	-19.1547992878	-0.178151551467		19.086206660181844
142	1512855000	12567.68	12657.63	12567.68	12649.0	4.917655279999996	2017-12-09 22:30:00	12616.0994529	12573.6708975	42.4285553692	57.7879232317	-15.3593678625	0.198145194228	Minimum	23.915687808974482
143	1512855300	12573.69	12649.0	12648.99	12579.0	8.76555473999999	2017-12-09 22:35:00	12610.3918447	12574.0656458	36.3261989017	53.4955783657	-17.169379464	-0.11784414682	Maximum	25.143025575389785
144	1512855600	12578.99	12634.17	12579.0	12630.0	4.904387759999994	2017-12-09 22:40:00	12613.408484	12578.2089313	35.1995526791	49.8363732284	-14.6368205493	0.147504394086	Minimum	28.425080824810152
145	1512855900	12616.53	12694.55	12630.0	12681.6	6.418769449999991	2017-12-09 22:45:00	12623.8994865	12585.867529	38.0319574598	47.4754900747	-9.44353261485	0.354809838447		25.44680969568404
146	1512856200	12681.0	12690.51	12681.6	12690.51	6.4131621999999915	2017-12-09 22:50:00	12634.1472578	12593.6188232	40.5284346247	46.0860789847	-5.55764435997	0.411486719362		35.68042180831486
