;unixtime;low;high;open;close;volume;datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall
189;1514219400;12400;12599,99;12599,99;12400,01;11,38086654;25.12.2017 16:30;12466,66667;24,57040364;-9,563014217;-0,389208674;59,1934033;5,577414219;0,094223577;UP;DOWN;DOWN
190;1514218500;12495,8;12600;12495,8;12599,99;9,671857;25.12.2017 16:15;12565,26333;33,39686876;8,826465123;0,2642902;60,50680211;1,313398807;0,021706631;DOWN;DOWN;DOWN
191;1514217600;12357,46;12498;12380,85;12495,8;11,77878392;25.12.2017 16:00;12450,42;29,41564534;-3,981223415;-0,135343739;59,49105792;-1,015744193;-0,017073897;DOWN;DOWN;DOWN
192;1514216700;12373,77;12501,03;12436,29;12383,82;11,41165002;25.12.2017 15:45;12419,54;16,04059944;-13,37504591;-0,833824569;53,0026737;-6,488384212;-0,122416168;DOWN;DOWN;DOWN
193;1514215800;12300,95;12438,88;12300,95;12436,29;9,65749237;25.12.2017 15:30;12392,04;7,787147926;-8,253451509;-1,059881177;52,09168214;-0,910991566;-0,017488235;DOWN;DOWN;DOWN
194;1514214900;12260,38;12499;12260,39;12300,95;12,41392638;25.12.2017 15:15;12353,44333;-8,739815978;-16,5269639;1,890996784;47,3645942;-4,727087936;-0,099802142;DOWN;DOWN;DOWN
195;1514214000;12114,36;12288,14;12209,29;12260,39;14,02533231;25.12.2017 15:00;12220,96333;-26,37917665;-17,63936067;0,668685035;40,87757557;-6,487018633;-0,15869382;UP;UP;UP
196;1514213100;12150;12305,67;12226,48;12209,98;17,15377001;25.12.2017 14:45;12221,88333;-42,90236236;-16,5231857;0,385134636;47,28630352;6,408727945;0,135530322;UP;UP;UP
197;1514212200;12226,49;12514,19;12320,1;12240;20,56589096;25.12.2017 14:30;12326,89333;-51,83089047;-8,928528117;0,17226268;48,38323753;1,096934018;0,022671778;UP;UP;UP
198;1514211300;12222;12445,3;12385,54;12320,11;20,21966865;25.12.2017 14:15;12329,13667;-55,45138501;-3,620494539;0,065291328;56,27750097;7,894263432;0,14027388;UP;UP;UP
199;1514210400;12153,85;12493,59;12364,52;12385,95;16,1289682;25.12.2017 14:00;12344,46333;-49,67099173;5,780393285;-0,116373623;55,66977068;-0,60773029;-0,010916702;UP;UP;UP
200;1514209500;12250;12732,08;12600,01;12364,52;20,10675487;25.12.2017 13:45;12448,86667;-45,0438393;4,627152427;-0,102725534;56,58796671;0,918196031;0,016225994;UP;UP;UP
201;1514208600;12600,01;12869,36;12705,99;12600,01;15,45703665;25.12.2017 13:30;12689,79333;-18,4836364;26,5602029;-1,43695766;67,12414256;10,53617585;0,156965519;UP;UP;UP
202;1514207700;12700;12879,09;12750,01;12706;21,70275307;25.12.2017 13:15;12761,69667;8,443378189;26,92701459;3,189128094;72,35571887;5,231576312;0,072303563;UP;UP;UP
203;1514206800;12746,23;13055,01;13055;12750;17,66643833;25.12.2017 13:00;12850,41333;35,20367018;26,76029199;0,760156309;74,04459434;1,68887547;0,022808896;UP;UP;UP
204;1514205900;12930,01;13114,99;12974,93;13055,01;20,46302749;25.12.2017 12:45;13033,33667;87,15703098;51,9533608;0,596089153;74,85812758;0,813533241;0,010867668;DOWN;DOWN;DOWN
205;1514205000;12867;12995;12883,05;12974,97;18,44274372;25.12.2017 12:30;12945,65667;118,4480959;31,29106488;0,264175331;71,06037475;-3,797752832;-0,05344403;DOWN;DOWN;DOWN
206;1514204100;12813,99;12900;12814;12883,03;15,90101215;25.12.2017 12:15;12865,67333;135,8738763;17,42578043;0,128249675;68,84449693;-2,215877815;-0,032186709;DOWN;DOWN;DOWN
207;1514203200;12752,1;12841,78;12779,39;12814;11,30852978;25.12.2017 12:00;12802,62667;144,1084385;8,234562196;0,05714143;67,41008144;-1,434415493;-0,021278946;DOWN;DOWN;DOWN
208;1514202300;12700;12850;12800;12776,31;20,31652969;25.12.2017 11:45;12775,43667;145,6246167;1,516178172;0,010411551;66,85372815;-0,556353293;-0,008321949;DOWN;DOWN;DOWN
209;1514201400;12611,4;12800;12622,27;12800;22,79357717;25.12.2017 11:30;12737,13333;147,5487324;1,924115747;0,013040544;64,59824807;-2,255480074;-0,034915499;DOWN;DOWN;DOWN
210;1514200500;12587,85;12637,21;12637,21;12622,28;10,31113066;25.12.2017 11:15;12615,78;128,5842553;-18,96447714;-0,147486775;56,999585;-7,598663071;-0,133310849;UP;DOWN;DOWN
211;1514199600;12620;12690;12620,82;12637,21;10,98806808;25.12.2017 11:00;12649,07;112,2757712;-16,30848404;-0,145253814;55,92605218;-1,073532819;-0,019195577;DOWN;DOWN;DOWN
212;1514198700;12570;12629,4;12575,01;12620,82;7,79201361;25.12.2017 10:45;12606,74;98,75065514;-13,52511609;-0,136962292;49,75978085;-6,166271334;-0,12392079;DOWN;DOWN;DOWN
213;1514197800;12471,65;12671,77;12553;12575,01;9,17709938;25.12.2017 10:30;12572,81;77,11302579;-21,63762935;-0,280596295;43,79974828;-5,960032571;-0,136074585;UP;DOWN;DOWN
214;1514196900;12552,99;12630;12553;12552,99;11,0705766;25.12.2017 10:15;12578,66;53,96134141;-23,15168438;-0,429042047;42,1417205;-1,658027779;-0,039344093;DOWN;DOWN;DOWN
215;1514196000;12373,82;12600;12373,83;12553;17,42312549;25.12.2017 10:00;12508,94;33,11731567;-20,84402574;-0,629399615;34,67840716;-7,463313344;-0,215214999;DOWN;UP;UP
216;1514195100;12373,82;12510,19;12510,19;12373,83;11,77719006;25.12.2017 09:45;12419,28;-5,711288398;-38,82860407;6,79857177;27,26703137;-7,41137579;-0,271807213;UP;UP;UP
217;1514194200;12510;12657,01;12657;12510,19;14,00189615;25.12.2017 09:30;12559,06667;-23,5981377;-17,8868493;0,757977156;23,63574867;-3,631282697;-0,153635188;UP;UP;UP
218;1514193300;12537,94;12677,72;12600,36;12657,07;12,6807488;25.12.2017 09:15;12624,24333;-23,75431407;-0,156176369;0,006574653;22,11332662;-1,522422052;-0,06884636;UP;UP;DOWN
219;1514192400;12587,34;12850;12680;12600,87;19,5176184;25.12.2017 09:00;12679,40333;-27,41111635;-3,656802282;0,133405814;29,57902212;7,465695504;0,25239832;DOWN;DOWN;DOWN
220;1514191500;12524,47;12686,59;12524,48;12678,41;15,75739098;25.12.2017 08:45;12629,82333;-24,15503809;3,256078259;-0,134799136;29,47456619;-0,104455931;-0,003543934;DOWN;DOWN;DOWN
221;1514190600;12395,54;12524,48;12395,54;12524,48;9,09038787;25.12.2017 08:30;12481,5;-37,39540747;-13,24036937;0,354064049;29,54114612;0,066579932;0,002253803;DOWN;DOWN;DOWN
222;1514189700;12337,23;12414,91;12337,23;12395,54;6,33978234;25.12.2017 08:15;12382,56;-56,51014921;-19,11474174;0,338253252;29,92156617;0,380420048;0,012713908;UP;UP;DOWN
223;1514188800;12337,16;12480;12412,11;12337,23;6,79675065;25.12.2017 08:00;12384,79667;-76,95768906;-20,44753985;0,265698465;35,81601664;5,894450466;0,164575824;UP;DOWN;DOWN
224;1514187900;12335,39;12458,54;12364,81;12412,02;6,60371712;25.12.2017 07:45;12401,98333;-84,59468359;-7,636994525;0,090277476;43,54379346;7,727776825;0,177471373;DOWN;DOWN;DOWN
225;1514187000;12277,3;12444;12300;12364,81;4,91992567;25.12.2017 07:30;12362,03667;-92,63860358;-8,043919991;0,086831188;38,07920328;-5,464590179;-0,143505896;DOWN;DOWN;DOWN
226;1514186100;12300;12416,93;12397,07;12300;7,44902995;25.12.2017 07:15;12338,97667;-103,9128682;-11,27426467;0,108497291;39,63084168;1,551638402;0,039152295;UP;DOWN;DOWN
227;1514185200;12211,01;12462,28;12211,01;12397,07;5,92114325;25.12.2017 07:00;12356,78667;-100,2245572;3,688311065;-0,036800473;44,56889571;4,938054022;0,11079597;DOWN;DOWN;DOWN
228;1514184300;12153,14;12245,99;12158,27;12211,01;4,03323955;25.12.2017 06:45;12203,38;-107,7330431;-7,50848589;0,069695292;39,40440064;-5,164495062;-0,131063916;UP;UP;UP
229;1514183400;12158,27;12320,01;12320,01;12158,27;6,80094735;25.12.2017 06:30;12212,18333;-119,4109162;-11,67787316;0,097795692;44,16319382;4,758793175;0,107754733;UP;UP;DOWN
230;1514182500;12320;12343,04;12340;12320;1,86510622;25.12.2017 06:15;12327,68;-111,8530516;7,557864647;-0,067569588;52,83402409;8,67083027;0,164114516;DOWN;DOWN;DOWN
